SKD DEJAVNOST;SPOL;STATUS ZAPOSLITVE;LETO;RAZRED NETO - SKUPAJ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
B RUDARSTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2011;321;4;9;27;5;7;10;10;10;11;9;16;14;22;32;38;35;26;21;21;10
B RUDARSTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2012;291;8;4;27;3;5;13;10;10;5;10;7;17;14;31;30;40;22;15;22;18
B RUDARSTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2013;288;8;9;27;4;12;10;6;4;10;7;11;13;24;26;18;25;21;22;22;14
B RUDARSTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2014;273;11;9;36;5;8;6;4;21;10;10;11;17;21;24;21;26;18;21;21;18
B RUDARSTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2015;271;17;9;27;6;16;11;10;10;10;10;15;25;12;28;19;18;22;18;19;16
B RUDARSTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2016;249;8;11;27;7;11;12;10;23;10;10;15;17;15;17;20;23;17;24;20;11
B RUDARSTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2017;266;8;9;27;13;11;11;10;10;10;13;11;17;17;18;13;21;17;22;25;15
B RUDARSTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2018;301;8;11;10;11;15;17;15;11;17;9;11;17;10;24;13;23;21;26;23;23
B RUDARSTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2019;289;8;16;13;6;18;10;15;11;10;13;11;17;19;22;15;20;21;24;18;15
B RUDARSTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2020;239;8;9;11;7;13;11;10;23;10;10;11;10;18;18;12;20;12;24;20;18
C PREDELOVALNE DEJAVNOSTI;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2009;155836;6894;9153;10340;11028;10510;11110;11009;10940;10319;9473;8697;7721;6716;6050;5516;4661;3875;3534;3878;4412
C PREDELOVALNE DEJAVNOSTI;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2010;144259;7096;7346;8235;8852;9426;9878;9597;9729;9347;9036;7980;7497;7059;6368;5657;4952;3852;3689;4038;4625
C PREDELOVALNE DEJAVNOSTI;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2011;144197;6591;7980;7271;8464;9142;9378;9584;9835;9340;8915;7990;7756;7140;6709;6096;5134;3999;3826;4123;4924
C PREDELOVALNE DEJAVNOSTI;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2012;141593;6279;6664;7724;8414;8419;9187;9583;9448;9048;8415;7932;7367;7152;6766;6125;5204;4225;4067;4351;5223
C PREDELOVALNE DEJAVNOSTI;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2013;142491;6132;6991;6704;7792;8512;9170;9304;9308;9145;8652;7874;7423;7387;7104;6432;5580;4588;4277;4619;5497
C PREDELOVALNE DEJAVNOSTI;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2014;141869;5389;6160;7134;7729;8643;9072;9515;9339;9039;8564;7783;7479;7422;7088;6235;5360;4637;4567;4630;5778
C PREDELOVALNE DEJAVNOSTI;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2015;141293;5337;5905;6383;7631;8089;8694;9308;9647;8597;8279;7969;7614;7562;7220;6549;5539;4894;4950;5073;6053
C PREDELOVALNE DEJAVNOSTI;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2016;141157;5484;6133;6399;7017;7857;8934;9359;9385;8776;8559;8186;7997;7669;7148;6261;5346;4623;4985;4987;6052
C PREDELOVALNE DEJAVNOSTI;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2017;148603;5614;6070;6677;7260;8457;9303;9788;9796;9251;8790;8457;8588;8247;7584;6739;5797;5107;5353;5470;6255
C PREDELOVALNE DEJAVNOSTI;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2018;155008;5914;6374;6685;7666;8888;9608;10088;10054;9352;9102;8921;8708;8459;7983;7105;6082;5621;5968;5909;6521
C PREDELOVALNE DEJAVNOSTI;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2019;161717;5941;6420;7093;8488;9340;10163;10969;10327;9776;9696;9516;9169;8940;8315;7339;6183;5641;5750;5896;6755
C PREDELOVALNE DEJAVNOSTI;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2020;151312;4565;4778;6259;7466;8339;9449;10014;10192;9846;9535;9543;8980;8776;8322;7217;6295;5273;5092;5044;6327
C PREDELOVALNE DEJAVNOSTI;MOSKI;ZAPOSLENI - SKUPAJ;2009;103521;3038;3603;4404;5382;6184;7250;7701;8178;8138;7576;6880;6167;5285;4665;4209;3493;2862;2564;2779;3163
C PREDELOVALNE DEJAVNOSTI;MOSKI;ZAPOSLENI - SKUPAJ;2010;96410;2818;3214;3793;4407;5225;6104;6530;7120;7119;7100;6353;5989;5664;5018;4379;3795;2884;2677;2891;3330
C PREDELOVALNE DEJAVNOSTI;MOSKI;ZAPOSLENI - SKUPAJ;2011;96218;2683;3327;3417;4135;4938;5669;6430;7010;7054;6917;6348;6215;5708;5340;4777;3943;3032;2801;2943;3531
C PREDELOVALNE DEJAVNOSTI;MOSKI;ZAPOSLENI - SKUPAJ;2012;95896;2774;2734;3546;4206;4736;5597;6462;6764;6923;6720;6376;5876;5765;5464;4821;4027;3265;3010;3095;3735
C PREDELOVALNE DEJAVNOSTI;MOSKI;ZAPOSLENI - SKUPAJ;2013;96746;2752;2962;3089;3797;4646;5600;6079;6674;6959;6769;6293;6017;5982;5713;5102;4361;3557;3182;3326;3886
C PREDELOVALNE DEJAVNOSTI;MOSKI;ZAPOSLENI - SKUPAJ;2014;96912;2479;2571;3271;3762;4918;5554;6352;6797;6852;6692;6186;6052;5984;5722;5003;4178;3571;3455;3328;4079
C PREDELOVALNE DEJAVNOSTI;MOSKI;ZAPOSLENI - SKUPAJ;2015;96757;2429;2376;3058;3716;4548;5403;6085;6818;6465;6442;6338;6084;6100;5819;5244;4353;3809;3732;3673;4265
C PREDELOVALNE DEJAVNOSTI;MOSKI;ZAPOSLENI - SKUPAJ;2016;96534;2397;2414;2909;3407;4368;5502;6264;6722;6581;6614;6594;6382;6194;5801;4948;4208;3562;3789;3605;4273
C PREDELOVALNE DEJAVNOSTI;MOSKI;ZAPOSLENI - SKUPAJ;2017;101497;2382;2536;2903;3500;4643;5556;6467;6982;6932;6760;6690;6841;6720;6141;5422;4587;3962;4035;4049;4389
C PREDELOVALNE DEJAVNOSTI;MOSKI;ZAPOSLENI - SKUPAJ;2018;105256;2207;2679;2958;3515;4632;5613;6672;7080;7018;7046;7089;7000;6814;6497;5697;4871;4349;4549;4386;4584
C PREDELOVALNE DEJAVNOSTI;MOSKI;ZAPOSLENI - SKUPAJ;2019;110711;2409;2813;3141;3995;4853;6089;7333;7441;7429;7541;7598;7390;7245;6789;5852;4878;4409;4390;4373;4743
C PREDELOVALNE DEJAVNOSTI;MOSKI;ZAPOSLENI - SKUPAJ;2020;104720;2424;2479;2966;3690;4447;5602;6379;6942;7164;7309;7645;7259;7139;6707;5818;4966;4041;3828;3587;4328
C PREDELOVALNE DEJAVNOSTI;ZENSKE;ZAPOSLENI - SKUPAJ;2009;52315;3856;5550;5936;5646;4326;3860;3308;2762;2181;1897;1817;1554;1431;1385;1307;1168;1013;970;1099;1249
C PREDELOVALNE DEJAVNOSTI;ZENSKE;ZAPOSLENI - SKUPAJ;2010;47849;4278;4132;4442;4445;4201;3774;3067;2609;2228;1936;1627;1508;1395;1350;1278;1157;968;1012;1147;1295
C PREDELOVALNE DEJAVNOSTI;ZENSKE;ZAPOSLENI - SKUPAJ;2011;47979;3908;4653;3854;4329;4204;3709;3154;2825;2286;1998;1642;1541;1432;1369;1319;1191;967;1025;1180;1393
C PREDELOVALNE DEJAVNOSTI;ZENSKE;ZAPOSLENI - SKUPAJ;2012;45697;3505;3930;4178;4208;3683;3590;3121;2684;2125;1695;1556;1491;1387;1302;1304;1177;960;1057;1256;1488
C PREDELOVALNE DEJAVNOSTI;ZENSKE;ZAPOSLENI - SKUPAJ;2013;45745;3380;4029;3615;3995;3866;3570;3225;2634;2186;1883;1581;1406;1405;1391;1330;1219;1031;1095;1293;1611
C PREDELOVALNE DEJAVNOSTI;ZENSKE;ZAPOSLENI - SKUPAJ;2014;44957;2910;3589;3863;3967;3725;3526;3163;2724;2187;1878;1597;1427;1438;1366;1232;1218;1066;1112;1350;1699
C PREDELOVALNE DEJAVNOSTI;ZENSKE;ZAPOSLENI - SKUPAJ;2015;44536;2908;3529;3325;3915;3541;3291;3223;2829;2132;1837;1631;1530;1462;1401;1305;1186;1085;1218;1400;1788
C PREDELOVALNE DEJAVNOSTI;ZENSKE;ZAPOSLENI - SKUPAJ;2016;44623;3087;3719;3490;3610;3489;3432;3095;2663;2195;1945;1592;1615;1475;1347;1313;1138;1061;1196;1382;1779
C PREDELOVALNE DEJAVNOSTI;ZENSKE;ZAPOSLENI - SKUPAJ;2017;47106;3232;3534;3774;3760;3814;3747;3321;2814;2319;2030;1767;1747;1527;1443;1317;1210;1145;1318;1421;1866
C PREDELOVALNE DEJAVNOSTI;ZENSKE;ZAPOSLENI - SKUPAJ;2018;49752;3707;3695;3727;4151;4256;3995;3416;2974;2334;2056;1832;1708;1645;1486;1408;1211;1272;1419;1523;1937
C PREDELOVALNE DEJAVNOSTI;ZENSKE;ZAPOSLENI - SKUPAJ;2019;51006;3532;3607;3952;4493;4487;4074;3636;2886;2347;2155;1918;1779;1695;1526;1487;1305;1232;1360;1523;2012
C PREDELOVALNE DEJAVNOSTI;ZENSKE;ZAPOSLENI - SKUPAJ;2020;46592;2141;2299;3293;3776;3892;3847;3635;3250;2682;2226;1898;1721;1637;1615;1399;1329;1232;1264;1457;1999
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2009;7321;30;19;23;23;30;31;41;63;102;172;294;420;554;697;858;903;864;790;759;648
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2010;7214;39;28;28;24;22;38;43;85;135;183;280;418;511;684;803;779;810;770;767;659
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2011;7086;41;30;26;25;23;37;54;86;143;181;299;428;485;628;745;782;765;747;781;722
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2012;6823;34;25;28;23;29;52;54;81;129;174;259;349;455;518;669;750;718;813;831;831
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2013;7023;40;28;19;27;30;32;50;78;104;141;257;327;485;564;715;911;811;915;865;874
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2014;7096;42;29;26;27;31;36;49;82;113;166;260;329;434;610;638;854;784;856;903;921
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2015;7097;40;25;41;34;31;48;42;72;96;165;238;350;462;568;720;806;733;854;930;842
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2016;7025;48;30;26;26;23;35;50;70;123;138;252;367;519;636;733;740;698;804;880;827
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2017;6990;40;31;29;30;31;36;58;83;135;188;276;377;507;609;666;738;636;755;837;836
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2018;6982;53;39;22;31;34;45;58;98;133;218;309;370;513;591;674;630;679;787;843;855
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2019;7049;40;38;32;19;27;41;84;134;161;242;317;440;537;618;646;665;628;714;816;850
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2020;7074;29;25;24;29;36;33;48;68;111;169;228;359;515;673;727;730;683;776;847;964
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;MOSKI;ZAPOSLENI - SKUPAJ;2009;5982;15;44;37;11;20;17;29;45;79;131;232;318;423;536;687;782;735;707;655;537
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;MOSKI;ZAPOSLENI - SKUPAJ;2010;5928;50;67;17;13;17;23;66;81;108;146;240;323;385;553;651;735;693;672;663;546
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;MOSKI;ZAPOSLENI - SKUPAJ;2011;5864;22;67;35;14;15;24;66;72;105;153;249;344;391;532;641;685;659;641;673;592
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;MOSKI;ZAPOSLENI - SKUPAJ;2012;5544;14;12;53;15;18;42;37;80;99;168;211;310;325;401;575;640;599;704;720;680
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;MOSKI;ZAPOSLENI - SKUPAJ;2013;5963;21;21;20;16;22;21;36;69;83;117;237;256;364;403;576;795;708;792;732;712
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;MOSKI;ZAPOSLENI - SKUPAJ;2014;5730;51;40;31;19;23;26;42;62;113;169;240;247;311;494;514;731;673;732;767;754
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;MOSKI;ZAPOSLENI - SKUPAJ;2015;5739;19;40;31;18;20;25;42;77;106;136;185;262;348;438;581;673;629;722;782;693
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;MOSKI;ZAPOSLENI - SKUPAJ;2016;5687;21;16;51;18;21;20;42;77;106;169;204;276;390;506;602;631;579;689;732;690
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;MOSKI;ZAPOSLENI - SKUPAJ;2017;5650;21;36;42;14;51;19;107;63;116;200;216;295;381;482;560;633;527;639;695;681
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;MOSKI;ZAPOSLENI - SKUPAJ;2018;5623;27;27;12;15;23;24;45;82;109;174;237;274;388;466;559;526;559;681;698;697
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;MOSKI;ZAPOSLENI - SKUPAJ;2019;5691;26;19;15;35;37;28;65;108;116;179;244;331;406;494;546;550;524;618;666;704
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;MOSKI;ZAPOSLENI - SKUPAJ;2020;5709;52;40;13;39;21;50;67;79;106;169;216;266;396;514;607;593;566;663;701;792
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;ZENSKE;ZAPOSLENI - SKUPAJ;2009;1339;15;18;20;12;10;14;12;18;23;41;62;102;131;161;171;121;129;83;104;111
D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;ZENSKE;ZAPOSLENI - SKUPAJ;2010;1286;19;21;11;11;5;14;15;18;27;37;56;95;127;131;152;109;117;98;104;113
